Definition,NumberScale,IndicatorType,MeasurementType,IsQuickStat,ShortName,IndicatorId,Level1,IndicatorTotalId,Level2,Level3,SDRID,IndicatorOldId,TagIds,DenominatorWeightedId,Label,IndicatorOrder,Denominator,QuickStatOrder,IndicatorSpecial1Id,DenominatorUnweightedId,IndicatorSpecial2Id
Percentage of women who don't know their age of first menstruation,1,I,Percent,0,Don't know,FE_MENA_W_MDK,Fertility,FE_MENA_W_TOT,First menstruation,Women,FEMENAWMDK,,,FE_MENA_W_NUM,Age at first menarche: Don't know,12023080,All women,,,FE_MENA_W_UNW,
Mean age at menarche,1,I,Mean,0,Mean age at menarche,FE_MENA_W_MAM,Fertility,,First menstruation,Women,FEMENAWMAM,,,FE_MENA_W_NUM,Mean age at menarche,12023090,All women,,,FE_MENA_W_UNW,
Percentage of women: Total,1,T,Percent,0,Total,FE_MENA_W_TOT,Fertility,,First menstruation,Women,FEMENAWTOT,,,FE_MENA_W_NUM,Age at first menarche: Total,12023099,All women,,,FE_MENA_W_UNW,
Number of women,0,D,Number,0,Number of women,FE_MENA_W_NUM,Fertility,,First menstruation,Women,FEMENAWNUM,,,,Number of women,12023100,All women,,,FE_MENA_W_UNW,
Number of women (unweighted),0,U,Number,0,Number of women (unweighted),FE_MENA_W_UNW,Fertility,,First menstruation,Women,FEMENAWUNW,,,FE_MENA_W_NUM,Number of women (unweighted),12023101,All women,,,,
"Percentage of women age 30-49 menopausal, defined as women who are not pregnant and not postpartum amenorrheic whose last menstrual period occurred 6 or more months preceding the survey",1,I,Percent,0,Menopausal,FE_MENO_W_PCT,Fertility,,Menopause,Women,FEMENOWPCT,61230000,,FE_MENO_W_NUM,Women age 30-49 menopausal,12033010,Women age 30-49,,,FE_MENO_W_UNW,
Number of women age 30-49,0,D,Number,0,Number of women age 30-49,FE_MENO_W_NUM,Fertility,,Menopause,Women,FEMENOWNUM,61230001,,,Number of women age 30-49,12033020,Women age 30-49,,,FE_MENO_W_UNW,
Number of women age 30-49 (unweighted),0,U,Number,0,Number of women age 30-49 (unweighted),FE_MENO_W_UNW,Fertility,,Menopause,Women,FEMENOWUNW,,,FE_MENO_W_NUM,Number of women age 30-49 (unweighted),12033030,Women age 30-49,,,,
Percentage of women who gave birth by age 15,1,I,Percent,0,15,FE_BBAG_W_A15,Fertility,,First birth by exact age,Women,FEBBAGWA15,27167001,,FE_BBAG_W_NUM,Women giving birth by age 15,12063010,All women,,,FE_BBAG_W_UNW,
Percentage of women who gave birth by age 18,1,I,Percent,0,18,FE_BBAG_W_A18,Fertility,,First birth by exact age,Women,FEBBAGWA18,27167002,7,FE_BBAG_W_NUM,Women giving birth by age 18,12063020,All women,,,FE_BBAG_W_UNW,
Percentage of women who gave birth by age 20,1,I,Percent,0,20,FE_BBAG_W_A20,Fertility,,First birth by exact age,Women,FEBBAGWA20,27167003,,FE_BBAG_W_NUM,Women giving birth by age 20,12063030,All women,,,FE_BBAG_W_UNW,
Percentage of women who gave birth by age 22,1,I,Percent,0,22,FE_BBAG_W_A22,Fertility,,First birth by exact age,Women,FEBBAGWA22,27167004,,FE_BBAG_W_NUM,Women giving birth by age 22,12063040,All women,,,FE_BBAG_W_UNW,
Percentage of women who gave birth by age 25,1,I,Percent,0,25,FE_BBAG_W_A25,Fertility,,First birth by exact age,Women,FEBBAGWA25,27167005,,FE_BBAG_W_NUM,Women giving birth by age 25,12063050,All women,,,FE_BBAG_W_UNW,
Percentage of women who never gave birth,1,I,Percent,0,Never gave birth,FE_BBAG_W_NEV,Fertility,,First birth by exact age,Women,FEBBAGWNEV,27167000,,FE_BBAG_W_NUM,Women who never gave birth,12063060,All women,,,FE_BBAG_W_UNW,
Number of women,0,D,Number,0,Number of women,FE_BBAG_W_NUM,Fertility,,First birth by exact age,Women,FEBBAGWNUM,27146000,,,Number of women,12063070,All women,,,FE_BBAG_W_UNW,
Number of women (unweighted),0,U,Number,0,Number of women (unweighted),FE_BBAG_W_UNW,Fertility,,First birth by exact age,Women,FEBBAGWUNW,,,FE_BBAG_W_NUM,Number of women (unweighted),12063080,All women,,,,
Percentage of young women age 20-24 who gave birth by age 15,1,I,Percent,0,15,FE_BBAY_W_A15,Fertility,,First birth by exact age (women age 20-24),Women,FEBBAYWA15,,,FE_BBAY_W_NUM,Young women age 20-24 giving birth by age 15,12073010,Young women age 20-24,,,FE_BBAY_W_UNW,
Percentage of young women age 20-24 who gave birth by age 18,1,I,Percent,0,18,FE_BBAY_W_A18,Fertility,,First birth by exact age (women age 20-24),Women,FEBBAYWA18,,,FE_BBAY_W_NUM,Young women age 20-24 giving birth by age 18,12073020,Young women age 20-24,,,FE_BBAY_W_UNW,
Percentage of young women age 20-24 who gave birth by age 20,1,I,Percent,0,20,FE_BBAY_W_A20,Fertility,,First birth by exact age (women age 20-24),Women,FEBBAYWA20,,,FE_BBAY_W_NUM,Young women age 20-24 giving birth by age 20,12073030,Young women age 20-24,,,FE_BBAY_W_UNW,
Percentage of young women age 20-24 who never gave birth,1,I,Percent,0,Never gave birth,FE_BBAY_W_NEV,Fertility,,First birth by exact age (women age 20-24),Women,FEBBAYWNEV,,,FE_BBAY_W_NUM,Young women age 20-24 who never gave birth,12073060,Young women age 20-24,,,FE_BBAY_W_UNW,
Number of young women age 20-24,0,D,Number,0,Number of young women age 20-24,FE_BBAY_W_NUM,Fertility,,First birth by exact age (women age 20-24),Women,FEBBAYWNUM,,,,Number of young women age 20-24,12073070,Young women age 20-24,,,FE_BBAY_W_UNW,
Number of young women age 20-24 (unweighted),0,U,Number,0,Number of young women age 20-24 (unweighted),FE_BBAY_W_UNW,Fertility,,First birth by exact age (women age 20-24),Women,FEBBAYWUNW,,,FE_BBAY_W_NUM,Number of young women age 20-24 (unweighted),12073080,Young women age 20-24,,,,
Median age at first birth for young women age 20-24,1,I,Median,0,Median age at first birth,FE_BBAY_W_MED,Fertility,,First birth by exact age (women age 20-24),Women,FEBBAYWMED,,,FE_BBAY_W_NUM,Median age at first birth [Young women],12073090,Young women age 20-24,,,FE_BBAY_W_UNW,
Median age at first birth for women age 20-24,1,I,Median,0,20-24,FE_AAFB_W_M20,Fertility,,Median age at first birth,Women,FEAAFBWM20,28165002,,,Median age at first birth for women age 20-24,12103010,Women age 20-24,,,,
Median age at first birth for women age 25-29,1,I,Median,0,25-29,FE_AAFB_W_M25,Fertility,,Median age at first birth,Women,FEAAFBWM25,28165003,,,Median age at first birth for women age 25-29,12103020,Women age 25-29,,,,
Median age at first birth for women age 30-34,1,I,Median,0,30-34,FE_AAFB_W_M30,Fertility,,Median age at first birth,Women,FEAAFBWM30,28165004,,,Median age at first birth for women age 30-34,12103030,Women age 30-34,,,,
Median age at first birth for women age 35-39,1,I,Median,0,35-39,FE_AAFB_W_M35,Fertility,,Median age at first birth,Women,FEAAFBWM35,28165005,,,Median age at first birth for women age 35-39,12103040,Women age 35-39,,,,
Median age at first birth for women age 40-44,1,I,Median,0,40-44,FE_AAFB_W_M40,Fertility,,Median age at first birth,Women,FEAAFBWM40,28165006,,,Median age at first birth for women age 40-44,12103050,Women age 40-44,,,,
Median age at first birth for women age 45-49,1,I,Median,0,45-49,FE_AAFB_W_M45,Fertility,,Median age at first birth,Women,FEAAFBWM45,28165007,,,Median age at first birth for women age 45-49,12103060,Women age 45-49,,,,
Median age at first birth for women age 20-49,1,I,Median,0,20-49,FE_AAFB_W_M2A,Fertility,,Median age at first birth,Women,FEAAFBWM2A,28214000,,,Median age at first birth for women age 20-49,12103070,Women age 20-49,,,,
Median age at first birth for women age 25-49,1,I,Median,0,25-49,FE_AAFB_W_M2B,Fertility,,Median age at first birth,Women,FEAAFBWM2B,28166000,77,,Median age at first birth for women age 25-49,12103080,Women age 25-49,,,,
Percentage of teenage women who are mothers,1,I,Percent,0,Women age 15-19 who have had a live birth,FE_TNPG_W_LVB,Fertility,,Teenage pregnancy,Women,FETNPGWLVB,29169000,,FE_TNPG_W_NUM,Teenagers who are mothers,12133010,Women age 15-19,,FE_TNPG_W_DKM,FE_TNPG_W_UNW,
Percentage of teenage women who are pregnant with their first child,1,I,Percent,0,Women age 15-19 who are pregnant with first child,FE_TNPG_W_PRG,Fertility,,Teenage pregnancy,Women,FETNPGWPRG,29169001,,FE_TNPG_W_NUM,Teenagers who are pregnant with their first child,12133020,Women age 15-19,,FE_TNPG_W_DKM,FE_TNPG_W_UNW,
Percentage of teenage women who have begun childbearing,1,I,Percent,0,Women age 15-19 who have begun childbearing,FE_TNPG_W_CBR,Fertility,,Teenage pregnancy,Women,FETNPGWCBR,29169002,,FE_TNPG_W_NUM,Teenagers who have begun childbearing,12133030,Women age 15-19,,FE_TNPG_W_DKM,FE_TNPG_W_UNW,
Percentage of women age 15-19 who  have had a pregnancy loss,1,I,Percent,0,Women age 15-19 who have had a pregnancy loss,FE_TNPG_W_PGL,Fertility,,Teenage pregnancy,Women,FETNPGWPGL,,,FE_TNPG_W_NUM,Teenagers who have had a pregnancy loss,12133032,Women age 15-19,,,FE_TNPG_W_UNW,
Percentage of women age 15-19 who are currently pregnancy,1,I,Percent,0,Women age 15-19 who are currently pregnancy,FE_TNPG_W_CPG,Fertility,,Teenage pregnancy,Women,FETNPGWCPG,,,FE_TNPG_W_NUM,Teenagers who are currently pregnant,12133033,Women age 15-19,,,FE_TNPG_W_UNW,
Percentage of women age 15-19 who have ever been pregnant,1,I,Percent,0,Women age 15-19 who have ever been pregnant,FE_TNPG_W_EPG,Fertility,,Teenage pregnancy,Women,FETNPGWEPG,,,FE_TNPG_W_NUM,Teenagers who have ever been pregnant,12133034,Women age 15-19,,,FE_TNPG_W_UNW,
Percentage of teenage women with 'don't know' or missing information on childbearing,1,S,Percent,0,Women age 15-19 with Don't know or missing information on childbearing,FE_TNPG_W_DKM,Fertility,,Teenage pregnancy,Women,FETNPGWDKM,29169003,,FE_TNPG_W_NUM,Teenagers with don't know or missing information on childbearing,12133040,Women age 15-19,,,FE_TNPG_W_UNW,
Number of teenage women age 15-19,0,D,Number,0,Number of women age 15-19,FE_TNPG_W_NUM,Fertility,,Teenage pregnancy,Women,FETNPGWNUM,,,,Number of women age 15-19,12133050,Women age 15-19,,,FE_TNPG_W_UNW,
Number of teenage women age 15-19 (unweighted),0,U,Number,0,Number of women age 15-19 (unweighted),FE_TNPG_W_UNW,Fertility,,Teenage pregnancy,Women,FETNPGWUNW,,,FE_TNPG_W_NUM,Number of women age 15-19 (unweighted),12133060,Women age 15-19,,,,
Percentage of women age 15-19 who initiated sexual intercourse before age 15,1,I,Percent,0,Sexual before age 15,FE_TNBH_W_SEX,Fertility,,Teen sexual health behaviors before age 15,Women,FETNBHWSEX,,,FE_TNBH_W_NUM,Teenage women who initiated sexual intercourse before age 15,12143010,Women age 15-19,,,FE_TNBH_W_UNW,
Percentage of women age 15-19 who married before age 15,1,I,Percent,0,Married before age 15,FE_TNBH_W_MAR,Fertility,,Teen sexual health behaviors before age 15,Women,FETNBHWMAR,,,FE_TNBH_W_NUM,Teenage women who married before age 15,12143020,Women age 15-19,,,FE_TNBH_W_UNW,
Percentage of women age 15-19 who had a live birth before age 15,1,I,Percent,0,Live birth before age 15,FE_TNBH_W_BTH,Fertility,,Teen sexual health behaviors before age 15,Women,FETNBHWBTH,,,FE_TNBH_W_NUM,Teenage women who had a live birth before age 15,12143030,Women age 15-19,,,FE_TNBH_W_UNW,
Percentage of women age 15-19 who have ever been pregnant before age 15,1,I,Percent,0,Pregnant before age 15,FE_TNBH_W_PRG,Fertility,,Teen sexual health behaviors before age 15,Women,FETNBHWPRG,,,FE_TNBH_W_NUM,Teenage women who have ever been pregnant before age 15,12143035,Women age 15-19,,,FE_TNBH_W_UNW,
Number of women age 15-19,0,D,Number,0,Number of women age 15-19,FE_TNBH_W_NUM,Fertility,,Teen sexual health behaviors before age 15,Women,FETNBHWNUM,,,,Number of women age 15-19,12143040,Women age 15-19,,,FE_TNBH_W_UNW,
Number of women age 15-19 (unweighted),0,U,Number,0,Number of women age 15-19 (unweighted),FE_TNBH_W_UNW,Fertility,,Teen sexual health behaviors before age 15,Women,FETNBHWUNW,,,FE_TNBH_W_NUM,Number of women age 15-19 (unweighted),12143050,Women age 15-19,,,,
Percentage of men age 15-19 who initiated sexual intercourse before age 15,1,I,Percent,0,Sexual before age 15,FE_TNBH_M_SEX,Fertility,,Teen sexual health behaviors before age 15,Men,FETNBHMSEX,,,FE_TNBH_M_NUM,Teenage men who initiated sexual intercourse before age 15,12144010,Men age 15-19,,,FE_TNBH_M_UNW,
Percentage of men age 15-19 who married before age 15,1,I,Percent,0,Married before age 15,FE_TNBH_M_MAR,Fertility,,Teen sexual health behaviors before age 15,Men,FETNBHMMAR,,,FE_TNBH_M_NUM,Teenage men who married before age 15,12144020,Men age 15-19,,,FE_TNBH_M_UNW,
Percentage of men age 15-19 who fathered a live birth before age 15,1,I,Percent,0,Live birth before age 15,FE_TNBH_M_BTH,Fertility,,Teen sexual health behaviors before age 15,Men,FETNBHMBTH,,,FE_TNBH_M_NUM,Teenage men who fathered a live birth before age 15,12144030,Men age 15-19,,,FE_TNBH_M_UNW,
Number of men age 15-19,0,D,Number,0,Number of men age 15-19,FE_TNBH_M_NUM,Fertility,,Teen sexual health behaviors before age 15,Men,FETNBHMNUM,,,,Number of men age 15-19,12144040,Men age 15-19,,,FE_TNBH_M_UNW,
Number of men age 15-19 (unweighted),0,U,Number,0,Number of men age 15-19 (unweighted),FE_TNBH_M_UNW,Fertility,,Teen sexual health behaviors before age 15,Men,FETNBHMUNW,,,FE_TNBH_M_NUM,Number of men age 15-19 (unweighted),12144050,Men age 15-19,,,,
Percentage of pregnancy outcomes in the 3 years preceding the survey ending in a live birth,1,I,Percent,0,Live birth,FE_PRGO_W_POL,Fertility,FE_PRGO_W_TOT,Pregnancy outcome,Women,FEPRGOWPOL,,,FE_PRGO_W_NUM,Pregnancy outcome: Live birth,12153001,Pregnancies ending in the 3 years preceding the survey,,,FE_PRGO_W_UNW,
Percentage of pregnancy outcomes in the 3 years preceding the survey ending in a stillbirth,1,I,Percent,0,Stillbirth,FE_PRGO_W_POS,Fertility,FE_PRGO_W_TOT,Pregnancy outcome,Women,FEPRGOWPOS,,,FE_PRGO_W_NUM,Pregnancy outcome: Stillbirth,12153002,Pregnancies ending in the 3 years preceding the survey,,,FE_PRGO_W_UNW,
Percentage of pregnancy outcomes in the 3 years preceding the survey ending in a miscarriage,1,I,Percent,0,Miscarriage,FE_PRGO_W_POM,Fertility,FE_PRGO_W_TOT,Pregnancy outcome,Women,FEPRGOWPOM,,,FE_PRGO_W_NUM,Pregnancy outcome: Miscarriage,12153003,Pregnancies ending in the 3 years preceding the survey,,,FE_PRGO_W_UNW,
Percentage of pregnancy outcomes in the 3 years preceding the survey ending in an induced abortion,1,I,Percent,0,Induced abortion,FE_PRGO_W_POA,Fertility,FE_PRGO_W_TOT,Pregnancy outcome,Women,FEPRGOWPOA,,,FE_PRGO_W_NUM,Pregnancy outcome: Induced abortion,12153004,Pregnancies ending in the 3 years preceding the survey,,,FE_PRGO_W_UNW,
Percentage of pregnancy outcomes in the 3 years preceding the survey: Total,1,T,Percent,0,Total,FE_PRGO_W_TOT,Fertility,,Pregnancy outcome,Women,FEPRGOWTOT,,,FE_PRGO_W_NUM,Pregnancy outcome: Total,12153099,Pregnancies ending in the 3 years preceding the survey,,,FE_PRGO_W_UNW,
Number of pregnancies ending in the 3 years preceding the survey,0,D,Number,0,Number of pregnancies,FE_PRGO_W_NUM,Fertility,,Pregnancy outcome,Women,FEPRGOWNUM,,,,Number of pregnancies ending in the 3 years preceding the survey,12153100,Pregnancies ending in the 3 years preceding the survey,,,FE_PRGO_W_UNW,
Number of pregnancies ending in the 3 years preceding the survey (unweighted),0,U,Number,0,Number of pregnancies (unweighted),FE_PRGO_W_UNW,Fertility,,Pregnancy outcome,Women,FEPRGOWUNW,,,FE_PRGO_W_NUM,Number of pregnancies ending in the 3 years preceding the survey (unweighted),12153101,Pregnancies ending in the 3 years preceding the survey,,,,
"Induced abortion rate for the three years preceding the survey for age group 10-14 expressed per 1,000 women",0,I,Rate,0,10-14,FE_ABRT_W_A10,Fertility,,Induced abortion rates,Women,FEABRTWA10,,,,Induced abortion rate: 10-14,12173001,Per thousand women,,,,
"Induced abortion rate for the three years preceding the survey for age group 15-19 expressed per 1,000 women",0,I,Rate,0,15-19,FE_ABRT_W_A15,Fertility,,Induced abortion rates,Women,FEABRTWA15,,,,Induced abortion rate: 15-19,12173002,Per thousand women,,,,
"Induced abortion rate for the three years preceding the survey for age group 20-24 expressed per 1,000 women",0,I,Rate,0,20-24,FE_ABRT_W_A20,Fertility,,Induced abortion rates,Women,FEABRTWA20,,,,Induced abortion rate: 20-24,12173003,Per thousand women,,,,
"Induced abortion rate for the three years preceding the survey for age group 25-29 expressed per 1,000 women",0,I,Rate,0,25-29,FE_ABRT_W_A25,Fertility,,Induced abortion rates,Women,FEABRTWA25,,,,Induced abortion rate: 25-29,12173004,Per thousand women,,,,
"Induced abortion rate for the three years preceding the survey for age group 30-34 expressed per 1,000 women",0,I,Rate,0,30-34,FE_ABRT_W_A30,Fertility,,Induced abortion rates,Women,FEABRTWA30,,,,Induced abortion rate: 30-34,12173005,Per thousand women,,,,
"Induced abortion rate for the three years preceding the survey for age group 35-39 expressed per 1,000 women",0,I,Rate,0,35-39,FE_ABRT_W_A35,Fertility,,Induced abortion rates,Women,FEABRTWA35,,,,Induced abortion rate: 35-39,12173006,Per thousand women,,,,
"Induced abortion rate for the three years preceding the survey for age group 40-44 expressed per 1,000 women",0,I,Rate,0,40-44,FE_ABRT_W_A40,Fertility,,Induced abortion rates,Women,FEABRTWA40,,,,Induced abortion rate: 40-44,12173007,Per thousand women,,,,
"Induced abortion rate for the three years preceding the survey for age group 45-49 expressed per 1,000 women",0,I,Rate,0,45-49,FE_ABRT_W_A45,Fertility,,Induced abortion rates,Women,FEABRTWA45,,,,Induced abortion rate: 45-49,12173008,Per thousand women,,,,
Total induced abortion rate for the 3 years preceding the survey expressed per woman,1,I,Rate,0,TAR (15-49),FE_ABRT_W_TAR,Fertility,,Induced abortion rates,Women,FEABRTWTAR,,,,Total induced abortion rate,12173009,Per woman,,,,
"General induced abortion rate for the 3 years preceding the survey expressed per 1,000 women age 15-44",0,I,Rate,0,GAR,FE_ABRT_W_GAR,Fertility,,Induced abortion rates,Women,FEABRTWGAR,,,,General induced abortion rate,12173010,Per thousand women age 15-44,,,,
